Timestamp,Open,High,Low,Close,Volume
1325412060,4.58,4.58,4.58,4.58,0
1325412120,4.58,4.58,4.58,4.58,0
1325412180,4.58,4.58,4.58,4.58,0
1325412240,4.58,4.58,4.58,4.58,0
1325412300,4.58,4.58,4.58,4.58,0
1325412360,4.58,4.58,4.58,4.58,0
1325412420,4.58,4.58,4.58,4.58,0
1325412480,4.58,4.58,4.58,4.58,0
1325412540,4.58,4.58,4.58,4.58,0
1325412600,4.58,4.58,4.58,4.58,0
1325412660,4.58,4.58,4.58,4.58,0
1325412720,4.58,4.58,4.58,4.58,0
1325412780,4.58,4.58,4.58,4.58,0
1325412840,4.58,4.58,4.58,4.58,0
1325412900,4.58,4.58,4.58,4.58,0
1325412960,4.58,4.58,4.58,4.58,0
1325413020,4.58,4.58,4.58,4.58,0
1325413080,4.58,4.58,4.58,4.58,0
1325413140,4.58,4.58,4.58,4.58,0
1325413200,4.58,4.58,4.58,4.58,0
1325413260,4.58,4.58,4.58,4.58,0
1325413320,4.58,4.58,4.58,4.58,0
1325413380,4.58,4.58,4.58,4.58,0
1325413440,4.58,4.58,4.58,4.58,0
1325413500,4.58,4.58,4.58,4.58,0
1325413560,4.58,4.58,4.58,4.58,0
1325413620,4.58,4.58,4.58,4.58,0
1325413680,4.58,4.58,4.58,4.58,0
1325413740,4.58,4.58,4.58,4.58,0
1325413800,4.58,4.58,4.58,4.58,0
1325413860,4.58,4.58,4.58,4.58,0
1325413920,4.58,4.58,4.58,4.58,0
1325413980,4.58,4.58,4.58,4.58,0
1325414040,4.58,4.58,4.58,4.58,0
1325414100,4.58,4.58,4.58,4.58,0
1325414160,4.58,4.58,4.58,4.58,0
1325414220,4.58,4.58,4.58,4.58,0
1325414280,4.58,4.58,4.58,4.58,0
1325414340,4.58,4.58,4.58,4.58,0
1325414400,4.58,4.58,4.58,4.58,0
1325414460,4.58,4.58,4.58,4.58,0
1325414520,4.58,4.58,4.58,4.58,0
1325414580,4.58,4.58,4.58,4.58,0
1325414640,4.58,4.58,4.58,4.58,0
1325414700,4.58,4.58,4.58,4.58,0
1325414760,4.58,4.58,4.58,4.58,0
1325414820,4.58,4.58,4.58,4.58,0
1325414880,4.58,4.58,4.58,4.58,0
1325414940,4.58,4.58,4.58,4.58,0
1325415000,4.58,4.58,4.58,4.58,0
1325415060,4.58,4.58,4.58,4.58,0
1325415120,4.58,4.58,4.58,4.58,0
1325415180,4.58,4.58,4.58,4.58,0
1325415240,4.58,4.58,4.58,4.58,0
1325415300,4.58,4.58,4.58,4.58,0
1325415360,4.58,4.58,4.58,4.58,0
1325415420,4.58,4.58,4.58,4.58,0
1325415480,4.58,4.58,4.58,4.58,0
1325415540,4.58,4.58,4.58,4.58,0
1325415600,4.58,4.58,4.58,4.58,0
1325415660,4.58,4.58,4.58,4.58,0
1325415720,4.58,4.58,4.58,4.58,0
1325415780,4.58,4.58,4.58,4.58,0
1325415840,4.58,4.58,4.58,4.58,0
1325415900,4.58,4.58,4.58,4.58,0
1325415960,4.58,4.58,4.58,4.58,0
1325416020,4.58,4.58,4.58,4.58,0
1325416080,4.58,4.58,4.58,4.58,0
1325416140,4.58,4.58,4.58,4.58,0
1325416200,4.58,4.58,4.58,4.58,0
1325416260,4.58,4.58,4.58,4.58,0
1325416320,4.58,4.58,4.58,4.58,0
1325416380,4.58,4.58,4.58,4.58,0
1325416440,4.58,4.58,4.58,4.58,0
1325416500,4.58,4.58,4.58,4.58,0
1325416560,4.58,4.58,4.58,4.58,0
1325416620,4.58,4.58,4.58,4.58,0
1325416680,4.58,4.58,4.58,4.58,0
1325416740,4.58,4.58,4.58,4.58,0
1325416800,4.58,4.58,4.58,4.58,0
1325416860,4.58,4.58,4.58,4.58,0
1325416920,4.58,4.58,4.58,4.58,0
1325416980,4.58,4.58,4.58,4.58,0
1325417040,4.58,4.58,4.58,4.58,0
1325417100,4.58,4.58,4.58,4.58,0
1325417160,4.58,4.58,4.58,4.58,0
1325417220,4.58,4.58,4.58,4.58,0
1325417280,4.58,4.58,4.58,4.58,0
1325417340,4.58,4.58,4.58,4.58,0
1325417400,4.58,4.58,4.58,4.58,0
1325417460,4.58,4.58,4.58,4.58,0
1325417520,4.58,4.58,4.58,4.58,0
1325417580,4.58,4.58,4.58,4.58,0
1325417640,4.58,4.58,4.58,4.58,0
1325417700,4.58,4.58,4.58,4.58,0
1325417760,4.58,4.58,4.58,4.58,0
1325417820,4.58,4.58,4.58,4.58,0
1325417880,4.58,4.58,4.58,4.58,0
1325417940,4.58,4.58,4.58,4.58,0
1325418000,4.58,4.58,4.58,4.58,0
1325418060,4.58,4.58,4.58,4.58,0
1325418120,4.58,4.58,4.58,4.58,0
1325418180,4.58,4.58,4.58,4.58,0
1325418240,4.58,4.58,4.58,4.58,0
1325418300,4.58,4.58,4.58,4.58,0
1325418360,4.58,4.58,4.58,4.58,0
1325418420,4.58,4.58,4.58,4.58,0
1325418480,4.58,4.58,4.58,4.58,0
1325418540,4.58,4.58,4.58,4.58,0
1325418600,4.58,4.58,4.58,4.58,0
1325418660,4.58,4.58,4.58,4.58,0
1325418720,4.58,4.58,4.58,4.58,0
1325418780,4.58,4.58,4.58,4.58,0
1325418840,4.58,4.58,4.58,4.58,0
1325418900,4.58,4.58,4.58,4.58,0
1325418960,4.58,4.58,4.58,4.58,0
1325419020,4.58,4.58,4.58,4.58,0
1325419080,4.58,4.58,4.58,4.58,0
1325419140,4.58,4.58,4.58,4.58,0
1325419200,4.58,4.58,4.58,4.58,0
1325419260,4.58,4.58,4.58,4.58,0
1325419320,4.58,4.58,4.58,4.58,0
1325419380,4.58,4.58,4.58,4.58,0
1325419440,4.58,4.58,4.58,4.58,0
1325419500,4.58,4.58,4.58,4.58,0
1325419560,4.58,4.58,4.58,4.58,0
1325419620,4.58,4.58,4.58,4.58,0
1325419680,4.58,4.58,4.58,4.58,0
1325419740,4.58,4.58,4.58,4.58,0
1325419800,4.58,4.58,4.58,4.58,0
1325419860,4.58,4.58,4.58,4.58,0
1325419920,4.58,4.58,4.58,4.58,0
1325419980,4.58,4.58,4.58,4.58,0
1325420040,4.58,4.58,4.58,4.58,0
1325420100,4.58,4.58,4.58,4.58,0
1325420160,4.58,4.58,4.58,4.58,0
1325420220,4.58,4.58,4.58,4.58,0
1325420280,4.58,4.58,4.58,4.58,0
1325420340,4.58,4.58,4.58,4.58,0
1325420400,4.58,4.58,4.58,4.58,0
1325420460,4.58,4.58,4.58,4.58,0
1325420520,4.58,4.58,4.58,4.58,0
1325420580,4.58,4.58,4.58,4.58,0
1325420640,4.58,4.58,4.58,4.58,0
1325420700,4.58,4.58,4.58,4.58,0
1325420760,4.58,4.58,4.58,4.58,0
1325420820,4.58,4.58,4.58,4.58,0
1325420880,4.58,4.58,4.58,4.58,0
1325420940,4.58,4.58,4.58,4.58,0
1325421000,4.58,4.58,4.58,4.58,0
1325421060,4.58,4.58,4.58,4.58,0
1325421120,4.58,4.58,4.58,4.58,0
1325421180,4.58,4.58,4.58,4.58,0
1325421240,4.58,4.58,4.58,4.58,0
1325421300,4.58,4.58,4.58,4.58,0
1325421360,4.58,4.58,4.58,4.58,0
1325421420,4.58,4.58,4.58,4.58,0
1325421480,4.58,4.58,4.58,4.58,0
1325421540,4.58,4.58,4.58,4.58,0
1325421600,4.58,4.58,4.58,4.58,0
1325421660,4.58,4.58,4.58,4.58,0
1325421720,4.58,4.58,4.58,4.58,0
1325421780,4.58,4.58,4.58,4.58,0
1325421840,4.58,4.58,4.58,4.58,0
1325421900,4.58,4.58,4.58,4.58,0
1325421960,4.58,4.58,4.58,4.58,0
1325422020,4.58,4.58,4.58,4.58,0
1325422080,4.58,4.58,4.58,4.58,0
1325422140,4.58,4.58,4.58,4.58,0
1325422200,4.58,4.58,4.58,4.58,0
1325422260,4.58,4.58,4.58,4.58,0
1325422320,4.58,4.58,4.58,4.58,0
1325422380,4.58,4.58,4.58,4.58,0
1325422440,4.58,4.58,4.58,4.58,0
1325422500,4.58,4.58,4.58,4.58,0
1325422560,4.58,4.58,4.58,4.58,0
1325422620,4.58,4.58,4.58,4.58,0
1325422680,4.58,4.58,4.58,4.58,0
1325422740,4.58,4.58,4.58,4.58,0
1325422800,4.58,4.58,4.58,4.58,0
1325422860,4.58,4.58,4.58,4.58,0
1325422920,4.58,4.58,4.58,4.58,0
1325422980,4.58,4.58,4.58,4.58,0
1325423040,4.58,4.58,4.58,4.58,0
1325423100,4.58,4.58,4.58,4.58,0
1325423160,4.58,4.58,4.58,4.58,0
1325423220,4.58,4.58,4.58,4.58,0
1325423280,4.58,4.58,4.58,4.58,0
1325423340,4.58,4.58,4.58,4.58,0
1325423400,4.58,4.58,4.58,4.58,0
1325423460,4.58,4.58,4.58,4.58,0
1325423520,4.58,4.58,4.58,4.58,0
1325423580,4.58,4.58,4.58,4.58,0
1325423640,4.58,4.58,4.58,4.58,0
1325423700,4.58,4.58,4.58,4.58,0
1325423760,4.58,4.58,4.58,4.58,0
1325423820,4.58,4.58,4.58,4.58,0
1325423880,4.58,4.58,4.58,4.58,0
1325423940,4.58,4.58,4.58,4.58,0
1325424000,4.58,4.58,4.58,4.58,0
1325424060,4.58,4.58,4.58,4.58,0
1325424120,4.58,4.58,4.58,4.58,0
1325424180,4.58,4.58,4.58,4.58,0
1325424240,4.58,4.58,4.58,4.58,0
1325424300,4.58,4.58,4.58,4.58,0
1325424360,4.58,4.58,4.58,4.58,0
1325424420,4.58,4.58,4.58,4.58,0
1325424480,4.58,4.58,4.58,4.58,0
1325424540,4.58,4.58,4.58,4.58,0
1325424600,4.58,4.58,4.58,4.58,0
1325424660,4.58,4.58,4.58,4.58,0
1325424720,4.58,4.58,4.58,4.58,0
1325424780,4.58,4.58,4.58,4.58,0
1325424840,4.58,4.58,4.58,4.58,0
1325424900,4.58,4.58,4.58,4.58,0
1325424960,4.58,4.58,4.58,4.58,0
1325425020,4.58,4.58,4.58,4.58,0
1325425080,4.58,4.58,4.58,4.58,0
1325425140,4.58,4.58,4.58,4.58,0
1325425200,4.58,4.58,4.58,4.58,0
1325425260,4.58,4.58,4.58,4.58,0
1325425320,4.58,4.58,4.58,4.58,0
1325425380,4.58,4.58,4.58,4.58,0
1325425440,4.58,4.58,4.58,4.58,0
1325425500,4.58,4.58,4.58,4.58,0
1325425560,4.58,4.58,4.58,4.58,0
1325425620,4.58,4.58,4.58,4.58,0
1325425680,4.58,4.58,4.58,4.58,0
1325425740,4.58,4.58,4.58,4.58,0
1325425800,4.58,4.58,4.58,4.58,0
1325425860,4.58,4.58,4.58,4.58,0
1325425920,4.58,4.58,4.58,4.58,0
1325425980,4.58,4.58,4.58,4.58,0
1325426040,4.58,4.58,4.58,4.58,0
1325426100,4.58,4.58,4.58,4.58,0
1325426160,4.58,4.58,4.58,4.58,0
1325426220,4.58,4.58,4.58,4.58,0
